sentence,left,right,leftE,rightE,istrap,fixedIdx,fixchance,code,followcode,required,leftmessage,rightmessage
안녕하십니까^지금부터 설문조사를 진행하겠습니다.^질문을 잘 읽고 솔직한 답변 부탁드립니다.^시작하시겠습니까?,,,,ForceStop,,0,1,,,,,
#빨간색#을 좋아하십니까?#파란색#을 좋아하십니까?,빨간색,파란색,,,,,,,,,,
계속 하시겠습니까?,,YES,,,,,,,,,,
#좋냐#?,,,,,,,,,,,,
사랑하는 #사람#이 있으십니까?,NO,,,,,,,,,,,
#불만#?,,,,,,,,,,,,
오늘 #하루#는 좋았습니까?,,,,,,,,,,,,
#아침 식사#는 하셨습니까?,,,,,,,,,,,,
이 질문이 #함정#이라고 생각 하십니까?,,,,,,,,,,,,
이 #질문#은 중요하지 않습니다.중요하지 않다고 생각하면 YES를 누르십시오.,,,,,,,,,,,,
#두철이#와 #상철이#가 #술#을 마시고 있습니다. #두철이#는 #상철이#보다 #주량#이 2병 더 높다고 할 때 #두철이#와 #상철이# 중 누가 더 나이가 많을까요?,두철이,상철이,,,,,,,,,,
당신은 지금 이 #질문#을 읽고 있습니까?,,,,,,,,,,,,
이 #질문#을 이해하지 못했다면 이해했다고 생각합니까?,,,,,,,,,,,,
당신이 지금 #YES#를 선택하지 않은 가능성이 없다고 생각하지 않는다면 #NO#를 선택하지 않는 것이 더 맞다고 생각하십니까?,,,,,,,,,,,,
이 질문에 #YES#를 선택하지 않는 것이 #NO#를 선택하는 것과 같지 않다고 생각하지 않습니까?,,,,,,,,,,,,
이 질문에 #YES#를 눌러야 다음질문으로 넘어갈수 있습니다 #YES#를 선택하면 당신은 이 질문에 #YES#를 선택하지 않았다는 사실에 동의하는 것이 됩니다. 그래도 #YES#를 선택하시겠습니까?,,,,,,,,,,,,
하와이안 #피자#를 좋아하십니까?,,,,,,,,,,,우수한 DNA를 가지셨군요,실망입니다
#환경설정#이 없어서 불편하십니까?,,,,,,,,,,,,
현재 이 #조사#에 만족 하십니까?,,,,Reset,TRUE,,,,,,,
4번째 #질문#을 기억하십니까?,,,,Reset,TRUE,,,,,4,,
ERROR 처음부터 다시 진행하시겠습니까?,,,Reset,FollowQuestion,TRUE,,,,e1,,,
ERROR 처음부터 다시 진행하시겠습니까?,,,Reset,FollowQuestion,TRUE,,,e1,e2,,,
ERROR 처음부터 다시 진행하시겠습니까?,,,Reset,FollowQuestion,TRUE,,,e2,e3,,,
ERROR 처음부터 다시 진행하시겠습니까?,,,Reset,FollowQuestion,TRUE,,,e3,e4,,,
ERROR 처음부터 다시 진행하시겠습니까?,,,Reset,FollowQuestion,TRUE,,,e4,e5,,,
다음 #질문#으로 넘어가시겠습니까?,NO,YES,Reset,,TRUE,,,e5,,,,
이전 #질문#들에 불만이 있으십니까?,,,Reverse,,TRUE,,,,,,,
당신의 #답변#이 통계에 반영되지 않는 것에 동의하십니까?,,,Reset,,TRUE,,,,,,통계에 반영되지 않는 설문조사는 잘못된 설문조사 입니다.,
아저씨의 소중한 금구슬을 받으시겠습니까?,,,,GoldenBall,TRUE,,,,,,,아저씨가 삐졌습니다.
당신은 #로봇#입니까?,,,,,TRUE,,,,,,,
이 질문의 답변으로 #YES#를 선택하십시오.,NO,YES,Reset,,TRUE,,,,,,잘못된 답변입니다.,
#설문조사#를 종료하시겠습니까?,,,ForceStop,,TRUE,,,,,,,
#엔딩#을 스킵하시겠습니까?,,,Reset,,TRUE,12,0.5,,,,,
이 #질문#은 테스트 중입니다. 문제가 발생할 수 있습니다. 그래도 선택하시겠습니까?,,,,,TRUE,,,,,,,
#오류#가 발생하여 지금까지의 설문조사가 초기화 되었습니다. 처음부터 다시 시작하시겠습니까?,,,Reset,,TRUE,,,,,3,,안속네....
Is this question in #English#?,,,,Reset,TRUE,,,,,,,영어좀 배우고 오십시오
