sentence,left,right,leftE,rightE,istrap,fixedIdx,fixchance,code,followcode,required,leftmessage,rightmessage
게임의 시작 전 안내 메시지^텍스트 나눔 테스트^YES시작 NO게임종료,,,,ForceStop,,0,1,,,,,
yes #빨간색#^no #파란색#,#빨간색#,#파란색#,CursorRed,CursorBlue,,,,,,,커서를 빨간색으로 바꿈^이 다음부터,커서를 파란색으로 바꿈^이 다음부터
YES 리셋 no 다음,,,Reset,,,,,,,,,
#의미# 없는 질문,,,,,,,,,,,답변1^답변2,답변1^답변2
#의미# 없는 질문,,,,,,,,,,,답변1^답변2,답변1^답변2
#의미# 없는 질문,,,,,,,,,,,,
#의미# 없는 질문,,,,,,,,,,,,
#의미# 없는 질문,,,,,,,,,,,,
YES #리셋# no 다음,,,,Reset,TRUE,,,,,,,
YES 리셋 no #다음#,,,,Reset,TRUE,,,,,,,
No 후속질문 #출력됨# Yes리셋,,,Reset,FollowQuestion,TRUE,,,,e1,,,
No 후속질문 출력됨1 Yes리셋,,,Reset,FollowQuestion,TRUE,,,e1,e2,,,
No 후속질문 출력됨2 Yes리셋,,,Reset,FollowQuestion,TRUE,,,e2,e3,,,
No 후속질문 출력됨3 Yes리셋,,,Reset,FollowQuestion,TRUE,,,e3,e4,,,
No 후속질문 출력됨4 Yes리셋,,,Reset,FollowQuestion,TRUE,,,e4,e5,,,
 #마지막# 후속질문 YES 다음,NO,YES,Reset,,TRUE,,,e5,,,,
YES #질문# 역행,,,Reverse,,TRUE,,,,,2,,질문을 역행하고^첫질문 도달 시 셔플
NO #단어를# 교체함,,,,GoldenBall,TRUE,,,,,,,이 다음부터 특정 단어가 교체됨
YES #이진수# 출력,,,Binary,,TRUE,,,,,,,이 다음부터 모든 글이 이진수로 출력됨
YES를 누르면 #글자# 출력 #속도# 느려짐,,,TextDelay3x,,TRUE,,,,,,,이 다음부터 글의 출력속도가 느려짐
YES를 누르면 #화면# 반전,,,FlipScreen,,TRUE,,,,,,,
YES #누를# 시 마우스 반전,,YES,ReverseCursor,,,,,,,,,
